LOAD,SITE_HOURS,TIME_TAKEN,BETL_TXN_COUNT,DLL_TIME_TAKEN,DLL_ITM_COUNT
2,11,5.613333333,108726393,2,140193765
1,22.5,4.743611111,128263005,1.989722222,165321969
1,13.5,5.496666667,92776158,1.478333333,121679139
2,11,4.939166667,109882923,1.733611111,141300154
2,11,4.573611111,106580595,1.748333333,137450789
2,11,4.886944444,103881951,1.690277778,133904587
3,11,5.116666667,111015119,2.566666667,143216329
1,13,3.7,84575250,1.383333333,109770675
3,6,5.183333333,106070963,1.783333333,138888612
2,12,4.066666667,98649818,1.75,124601405
4,7.5,6.65,122118827,2.216666667,158702057
5,7,5.716666667,102972543,1.966666667,129488422
1,14.5,3.8,97489358,1.516666667,127072295
1,18.5,4.65,127801849,2,165308261
2,12,8.133333333,125702830,2.15,161650268
2,11.5,5.25,110950122,1.783333333,142476248
2,8.5,5.65,107475640,1.85,139061980
1,14,3.466666667,89236885,1.6,115490689
2,11,4.533333333,105553543,1.566666667,135299604
2,12,4.483333333,94991756,1.5,122762659
2,10.5,4.283333333,95800950,1.533333333,123586131
2,9,5.983333333,108092284,1.733333333,138975261
1,11,3.4,77298682,1.1,101926612
2,11.5,4.716666667,105969928,1.616666667,136713199
2,10,6.166666667,102886264,1.766666667,133335951
2,12,4.5,99792431,1.583333333,128887107
2,12,5.033333333,109599950,1.9,141415057
1,15.5,3.816666667,93154239,1.466666667,119972312
2,12,8.366666667,114709217,1.75,148111513
2,12,4.533333333,106351906,1.533333333,137135457
2,12,4.6,108166201,1.6,139181120
2,12,4.766666667,106109803,1.6,136833540
1,15.5,4.933333333,96482607,1.35,124136846
1,12,3.85,77003209,2.55,99802072
2,11.5,4.433333333,107073258,1.5,137468410
1,17,4.55,122983223,1.566666667,159102067
2,11,4.5,114476688,1.633333333,147633382
1,13,5.2,82831829,1.55,106678165
2,12.5,4.383333333,105285663,1.583333333,135590979
2,12.5,4.483333333,106944927,1.683333333,137936556
2,12.5,4.483333333,99263552,1.6,125030359
3,12.5,5.716666667,118806131,2,155873140
1,12.5,3.383333333,83473600,1.25,110141712
2,11.5,4.4,103380541,1.55,133014353
2,11.5,4.783333333,107572237,1.666666667,138483185
2,9,4.7,108411236,1.566666667,139688077
2,12,4.866666667,109480846,2.016666667,140980332
1,11,3.516666667,81933187,1.133333333,109182763
2,10,4.616666667,106018234,1.9,136059721
2,12,4.55,106197522,1.633333333,136665612
2,13,4.166666667,107842014,1.75,139036433
3,7,6.083333333,117940011,2.4,151372189
1,11,2.25,62266025,1.033333333,79535514
2,11.5,4.783333333,103731789,2.116666667,134645753
2,12,5,106178975,1.85,138340520
2,12,8.016666667,113286506,2.016666667,146149641
2,15,5.866666667,133739538,2.3,172103139
1,12,2.9,72375662,1.183333333,92643949
4,1.5,6.566666667,120234257,2.4,157333524
2,11.5,4.616666667,107940679,1.683333333,139185476
2,12.5,4.75,112749854,1.783333333,145576702
2,11,4.533333333,112420562,1.8,145102340
1,12.5,3.216666667,81243614,1.233333333,105689137
2,12,4.45,111226339,1.833333333,143483451
2,10.5,4.216666667,106203120,1.8,136670834
2,12.5,4.633333333,112223431,1.8,144799080
2,11,4.716666667,113860764,1.916666667,146591315
1,15,3.5,93961754,1.466666667,121692182
2,12.5,4.766666667,113396119,1.916666667,146141999
2,12.5,4.783333333,116196011,2.5,150209904
2,12.5,6.05,112567462,2.683333333,144643868
2,10.5,4.483333333,111955526,2.066666667,144032463
1,8,2.016666667,48918836,0.95,63294887
2,12.5,4.566666667,112733275,2.3,145281530
2,12.5,4.466666667,110153827,2.166666667,141658887
3,6.5,5.983333333,125998510,2.733333333,162004744
2,9.5,4.583333333,114567458,2.216666667,148494576
1,15,3.65,99408893,1.766666667,128380347
1,10.5,3.183333333,67281617,1.4,86731115
1,23.5,6.3,159621550,3.066666667,205991494
2,12,5.733333333,107667001,2.5,138125021
2,10,5.066666667,114388028,2.333333333,147381320
1,15,3.583333333,97063859,1.866666667,125303249
2,12.5,4.783333333,110501283,2.133333333,141865585
2,12.5,5,110749002,2.233333333,142444618
2,12,4.683333333,113082525,2.25,145813408
2,12.5,4.9,115360881,2.233333333,148413640
1,12,3.716666667,88612131,1.583333333,117122990
2,12.5,4.683333333,114139727,2.2,146453240
2,11.5,4.683333333,117422931,2.25,150769090
2,12,4.633333333,119470909,2.333333333,153305977
2,11,4.816666667,123993766,2.283333333,158875511
1,15,3.816666667,101345125,1.933333333,130418038
2,11.5,3.416666667,96982262,1.85,124291748
4,8,5.516666667,122941332,2.65,158507238
2,9,5.683333333,103856587,1.916666667,133538863
2,11.5,6.716666667,122896012,2.1,158054737
1,12.5,3.466666667,95133234,1.716666667,124305894
2,10.5,4.783333333,117737289,2.3,151288799
2,10.5,5.45,120342562,2.366666667,154832052
2,12,5.216666667,121279809,3.2,156597659
1,16.5,4.616666667,128098419,2.4,165884410
1,6,5.316666667,44520772,0.983333333,58768453
2,9.5,5.633333333,116581291,2.8,149507193
2,9.5,3.933333333,110464820,2.066666667,143016362
2,10,4.283333333,125154102,2.166666667,148002761
2,11,3.516666667,107023493,1.916666667,137346427
1,15.83333333,3.3,102780396,1.816666667,132597762
2,11.5,3.75,107535201,2.05,138740325
2,11.5,3.65,101172616,2.016666667,130840947
2,11.5,4.35,110167207,2.15,141535423
2,12.16666667,4.416666667,116378640,2.25,149561958
1,15,3.4,99376330,2.016666667,128567334
2,12,4.066666667,114852066,2.216666667,147228701
2,12,4.55,113247642,2.3,144712939